feature,importance,normalized_importance,cumulative_importance
ОПК 1,832.9999999999999,0.07884524372929483,0.07884524372929483
ОПК 2,666.0000000000001,0.06303833412210129,0.1418835778513961
Факт 29,338.00000000000006,0.03199242782773309,0.1738760056791292
Факт 60,246.99999999999994,0.02337908187411263,0.19725508755324184
K_18 1,179.00000000000003,0.016942735447231426,0.21419782300047327
K_18 3,178.00000000000003,0.01684808329389494,0.23104590629436822
Ускорение K_13,165.0,0.015617605300520587,0.2466635115948888
Темп прироста 2 K_12,159.00000000000003,0.01504969238050166,0.26171320397539044
Ускорение K_12,154.00000000000003,0.014576431613819217,0.27628963558920966
Темп прироста 1 K_5,144.00000000000003,0.013629910080454333,0.289919545669664
Темп роста 2 K_10,132.0,0.012494084240416469,0.3024136299100805
Темп роста 2 K_6,125.99999999999997,0.011926171320397536,0.314339801230478
Темп роста 1 K_6,124.00000000000003,0.011736867013724565,0.32607666824420256
Темп прироста 1 K_18,120.99999999999997,0.011452910553715095,0.3375295787979177
"Ускорение Прибыль (убыток) до налогообложения , RUB",120.0,0.011358258400378608,0.3488878371982963
K_9 3,120.0,0.011358258400378608,0.36024609559867493
Ускорение f1_490,117.99999999999999,0.01116895409370563,0.37141504969238054
K_1 3,117.99999999999999,0.01116895409370563,0.38258400378608615
K_6 3,117.00000000000001,0.011074301940369145,0.39365830572645527
Темп прироста 2 K_11,115.0,0.010884997633696167,0.40454330336015143
Темп прироста 1 K_17,102.99999999999999,0.009749171793658305,0.41429247515380974
K_13 3,100.99999999999999,0.009559867486985327,0.4238523426407951
Темп прироста 2 K_13,95.0,0.008991954566966399,0.43284429720776146
Темп прироста 1 K_12,94.00000000000001,0.00889730241362991,0.44174159962139137
K_10 3,92.00000000000001,0.008707998106956934,0.4504495977283483
K_5 3,90.99999999999999,0.008613345953620443,0.45906294368196876
Темп роста 2 K_13,89.00000000000001,0.00842404164694747,0.46748698532891625
Факт 54,87.00000000000001,0.008234737340274493,0.4757217226691907
Факт 59,85.99999999999999,0.008140085186938002,0.4838618078561287
Темп роста 1 K_11,85.0,0.008045433033601515,0.4919072408897302
"Темп роста 2 Заёмные средства (краткосрочные), RUB",85.0,0.008045433033601515,0.4999526739233317
"Ускорение Основные средства , RUB",82.00000000000001,0.00776147657359205,0.5077141504969237
"Темп роста 1 Кредиторская задолженность, RUB",80.99999999999999,0.0076668244202555596,0.5153809749171793
Ускорение K_10,79.0,0.007477520113582584,0.5228584950307619
K_14 1,77.99999999999999,0.007382867960246094,0.530241362991008
Темп прироста 2 K_10,76.0,0.007193563653573118,0.5374349266445811
K_1 2,75.0,0.00709891150023663,0.5445338381448178
Темп прироста 2 K_18,75.0,0.00709891150023663,0.5516327496450545
Темп роста 2 K_12,75.0,0.00709891150023663,0.5587316611452912
K_12 3,74.0,0.007004259346900142,0.5657359204921913
Темп роста 1 K_14,69.0,0.0065309985802177,0.572266919072409
Темп прироста 2 K_5,65.0,0.006152389966871746,0.5784193090392807
K_14 3,65.0,0.006152389966871746,0.5845716990061525
"Ускорение Заёмные средства (краткосрочные), RUB",65.0,0.006152389966871746,0.5907240889730242
Темп прироста 2 K_17,63.99999999999999,0.006057737813535257,0.5967818267865594
Темп роста 2 K_14,62.000000000000014,0.005868433506862282,0.6026502602934217
Темп прироста 1 K_11,61.00000000000001,0.005773781353525793,0.6084240416469475
Темп роста 2 K_20,61.00000000000001,0.005773781353525793,0.6141978230004733
Темп роста 2 K_11,60.0,0.005679129200189304,0.6198769522006626
K_20 1,60.0,0.005679129200189304,0.625556081400852
"Темп прироста 1 Прибыль (убыток) до налогообложения , RUB",58.99999999999999,0.005584477046852815,0.6311405584477048
"Темп роста 2 Прибыль (убыток) до налогообложения , RUB",57.999999999999986,0.005489824893516326,0.6366303833412211
K_5 2,57.000000000000014,0.00539517274017984,0.642025556081401
"Темп прироста 1 Заёмные средства (долгосрочные), RUB",56.00000000000001,0.005300520586843351,0.6473260766682444
"Ускорение Себестоимость продаж, RUB",56.00000000000001,0.005300520586843351,0.6526265972550878
K_11 1,56.00000000000001,0.005300520586843351,0.6579271178419311
K_6 2,53.99999999999999,0.005111216280170373,0.6630383341221016
"Ускорение Кредиторская задолженность, RUB",53.99999999999999,0.005111216280170373,0.668149550402272
K_17 2,52.00000000000001,0.0049219119734973974,0.6730714623757694
Темп роста 2 K_4,52.00000000000001,0.0049219119734973974,0.6779933743492669
Темп прироста 1 f1_190,52.00000000000001,0.0049219119734973974,0.6829152863227643
Факт 49,52.00000000000001,0.0049219119734973974,0.6878371982962618
Ускорение K_6,51.00000000000001,0.004827259820160909,0.6926644581164226
K_6 1,51.00000000000001,0.004827259820160909,0.6974917179365835
K_13 1,50.0,0.00473260766682442,0.7022243256034079
K_20 3,50.0,0.00473260766682442,0.7069569332702322
