feature,importance,normalized_importance,cumulative_importance
Факт 29,243.00000000000006,0.029926108374384242,0.029926108374384242
K_10 3,208.00000000000003,0.025615763546798034,0.055541871921182276
ОПК 2,175.0,0.021551724137931036,0.07709359605911331
ОПК 1,170.99999999999997,0.021059113300492607,0.09815270935960592
Темп прироста 2 K_12,170.0,0.020935960591133004,0.11908866995073893
Темп роста 2 K_6,164.00000000000003,0.020197044334975375,0.1392857142857143
Факт 49,163.00000000000003,0.020073891625615767,0.15935960591133005
Темп роста 2 K_13,145.0,0.017857142857142856,0.1772167487684729
Темп прироста 1 K_13,144.00000000000003,0.017733990147783256,0.19495073891625617
K_18 1,142.0,0.017487684729064038,0.2124384236453202
Факт 60,135.0,0.0166256157635468,0.229064039408867
"Темп роста 2 Уставный капитал , RUB",129.00000000000003,0.015886699507389166,0.24495073891625616
Темп прироста 2 K_5,125.0,0.01539408866995074,0.2603448275862069
"Темп роста 1 Заёмные средства (краткосрочные), RUB",112.00000000000001,0.013793103448275864,0.2741379310344828
Ускорение K_12,107.00000000000001,0.013177339901477835,0.28731527093596065
Темп роста 2 K_17,102.99999999999999,0.012684729064039408,0.30000000000000004
Ускорение K_5,99.00000000000001,0.012192118226600986,0.31219211822660103
Темп роста 2 K_10,95.0,0.011699507389162561,0.32389162561576357
"Темп роста 2 Внеоборотные активы, RUB",95.0,0.011699507389162561,0.33559113300492616
K_18 3,87.00000000000001,0.010714285714285716,0.3463054187192119
K_20 3,85.99999999999999,0.010591133004926107,0.356896551724138
K_14 3,84.00000000000001,0.010344827586206898,0.3672413793103449
"Ускорение Оборотные активы, RUB",80.99999999999999,0.009975369458128077,0.377216748768473
Темп роста 1 K_11,80.99999999999999,0.009975369458128077,0.3871921182266011
Темп роста 1 K_10,80.99999999999999,0.009975369458128077,0.3971674876847292
K_14 1,77.99999999999999,0.009605911330049259,0.40677339901477844
"Темп роста 2 Основные средства , RUB",77.00000000000001,0.009482758620689657,0.4162561576354681
K_12 3,75.0,0.009236453201970444,0.4254926108374385
"Темп роста 2 Заёмные средства (краткосрочные), RUB",75.0,0.009236453201970444,0.4347290640394089
Темп прироста 1 K_12,74.0,0.009113300492610837,0.44384236453201975
Темп роста 2 f1_490,72.99999999999999,0.00899014778325123,0.452832512315271
"Ускорение Прибыль (убыток) до налогообложения , RUB",72.00000000000001,0.008866995073891628,0.4616995073891626
Темп прироста 1 K_11,67.00000000000001,0.008251231527093597,0.4699507389162562
K_1 3,67.00000000000001,0.008251231527093597,0.47820197044334983
Темп роста 1 K_9,66.0,0.00812807881773399,0.4863300492610838
"Темп роста 2 Капитал и резервы, RUB",65.0,0.008004926108374385,0.4943349753694582
K_5 1,63.99999999999999,0.007881773399014778,0.502216748768473
K_12 2,63.99999999999999,0.007881773399014778,0.5100985221674877
Темп роста 2 K_20,62.999999999999986,0.007758620689655171,0.5178571428571429
"Темп роста 2 Дебиторская задолженность, RUB",61.00000000000001,0.0075123152709359615,0.5253694581280789
"Темп роста 1 Уставный капитал , RUB",60.0,0.007389162561576354,0.5327586206896553
Темп прироста 1 K_5,57.999999999999986,0.007142857142857141,0.5399014778325124
K_1 2,57.999999999999986,0.007142857142857141,0.5470443349753695
K_5 3,56.00000000000001,0.006896551724137932,0.5539408866995075
K_13 3,56.00000000000001,0.006896551724137932,0.5608374384236454
Темп роста 2 K_12,55.0,0.0067733990147783255,0.5676108374384238
K_6 3,53.99999999999999,0.006650246305418718,0.5742610837438425
Темп прироста 2 K_13,50.0,0.006157635467980296,0.5804187192118229
"Темп роста 2 Оборотные активы, RUB",50.0,0.006157635467980296,0.5865763546798032
Темп роста 2 K_18,50.0,0.006157635467980296,0.5927339901477835
"Темп роста 1 Основные средства , RUB",50.0,0.006157635467980296,0.5988916256157638
K_17 1,48.99999999999999,0.006034482758620689,0.6049261083743845
"Темп роста 1 Себестоимость продаж, RUB",47.99999999999999,0.005911330049261083,0.6108374384236456
Темп прироста 2 K_6,47.99999999999999,0.005911330049261083,0.6167487684729066
"Ускорение Внеоборотные активы, RUB",47.99999999999999,0.005911330049261083,0.6226600985221676
"Ускорение Заёмные средства (краткосрочные), RUB",47.99999999999999,0.005911330049261083,0.6285714285714287
