feature,importance,normalized_importance,cumulative_importance
ОПК 1,867.0000000000002,0.07900492072170587,0.07900492072170587
ОПК 2,765.0,0.06971022416621105,0.14871514488791693
Факт 29,343.99999999999994,0.0313468197557864,0.18006196464370333
K_13 3,251.99999999999994,0.02296336796063422,0.20302533260433756
Факт 60,243.00000000000006,0.022143247676325865,0.22516858028066342
Темп прироста 1 K_18,236.99999999999994,0.02159650082012028,0.24676508110078368
Темп роста 1 K_6,236.99999999999994,0.02159650082012028,0.268361581920904
K_18 3,215.0,0.019591762347366502,0.28795334426827046
Ускорение K_13,215.0,0.019591762347366502,0.30754510661563694
Ускорение K_10,205.0,0.018680517587023875,0.3262256242026608
Ускорение K_12,199.00000000000003,0.0181337707308183,0.3443593949334791
K_1 3,193.00000000000003,0.017587023874612723,0.36194641880809186
Темп прироста 2 K_11,193.00000000000003,0.017587023874612723,0.3795334426827046
Темп роста 2 K_10,190.0,0.017313650446509933,0.39684709312921457
K_18 1,186.99999999999997,0.01704027701840714,0.4138873701476217
Темп прироста 1 K_17,180.0,0.016402405686167305,0.430289775833789
Темп прироста 2 K_12,160.99999999999997,0.014671040641516309,0.44496081647530533
Темп роста 2 K_6,160.99999999999997,0.014671040641516309,0.45963185711682164
"Ускорение Прибыль (убыток) до налогообложения , RUB",160.99999999999997,0.014671040641516309,0.47430289775833795
Темп роста 2 K_20,155.99999999999997,0.014215418261344995,0.48851831601968293
K_14 1,154.00000000000003,0.014033169309276474,0.5025514853289594
"Темп роста 2 Прибыль (убыток) от продажи, RUB",148.0,0.013486422453070895,0.5160379077820303
"Темп роста 1 Внеоборотные активы, RUB",145.0,0.013213049024968107,0.5292509568069984
Темп прироста 1 K_12,140.99999999999997,0.012848551120831053,0.5420995079278295
K_5 2,140.0,0.012757426644796793,0.5548569345726263
Темп прироста 1 K_11,139.00000000000003,0.012666302168762533,0.5675232367413888
"Темп роста 1 Дебиторская задолженность, RUB",135.0,0.012301804264625479,0.5798250410060143
Темп прироста 2 K_17,132.0,0.01202843083652269,0.591853471842537
Темп прироста 2 K_13,127.00000000000001,0.011572808456351377,0.6034262802988883
"Темп роста 2 Дебиторская задолженность, RUB",125.0,0.01139055950428285,0.6148168398031711
"Темп роста 2 Капитал и резервы, RUB",124.00000000000003,0.011299435028248591,0.6261162748314197
K_10 3,124.00000000000003,0.011299435028248591,0.6374157098596683
Факт 59,112.99999999999999,0.010297065791871696,0.6477127756515401
